norm_version,trial_id,family_index,item_id,event,reason,list_index,vignette,candidate_reason,question,scale
z_causal_norm_v1,scarf__E_minus__P,6,scarf,E_minus,P,0,There is a scarf in the chair. The scarf is warm. The scarf was blocking the seat. Josie moved the scarf before leaving the house.,Because the scarf was warm.,How well does this reason explain why the event happened?,"1 = does not explain it at all, 7 = explains it completely"
z_causal_norm_v1,scarf__E_minus__Z,6,scarf,E_minus,Z,1,There is a scarf in the chair. The scarf is warm. The scarf was blocking the seat. Josie moved the scarf before leaving the house.,Because the scarf was blocking the seat.,How well does this reason explain why the event happened?,"1 = does not explain it at all, 7 = explains it completely"
z_causal_norm_v1,food__E_plus__P,7,food,E_plus,P,3,There is a bowl of food in the kitchen floor. The bowl of food is tasty. The bowl of food was in an unfamiliar bowl. The cat ate the bowl of food before having a nap.,Because the food was tasty.,How well does this reason explain why the event happened?,"1 = does not explain it at all, 7 = explains it completely"
z_causal_norm_v1,food__E_plus__Z,7,food,E_plus,Z,0,There is a bowl of food in the kitchen floor. The bowl of food is tasty. The bowl of food was in an unfamiliar bowl. The cat ate the bowl of food before having a nap.,Because the food was in an unfamiliar bowl.,How well does this reason explain why the event happened?,"1 = does not explain it at all, 7 = explains it completely"
z_causal_norm_v1,food__E_minus__P,7,food,E_minus,P,1,There is a bowl of food in the kitchen floor. The bowl of food is tasty. The bowl of food was in an unfamiliar bowl. The cat smelled the bowl of food before having a nap.,Because the food was tasty.,How well does this reason explain why the event happened?,"1 = does not explain it at all, 7 = explains it completely"
z_causal_norm_v1,food__E_minus__Z,7,food,E_minus,Z,2,There is a bowl of food in the kitchen floor. The bowl of food is tasty. The bowl of food was in an unfamiliar bowl. The cat smelled the bowl of food before having a nap.,Because the food was in an unfamiliar bowl.,How well does this reason explain why the event happened?,"1 = does not explain it at all, 7 = explains it completely"
z_causal_norm_v1,bag__E_plus__P,8,bag,E_plus,P,0,There is a bag in the shop floor. The bag is pretty. The bag was blocking the aisle. Florence bought the bag and left the store.,Because the bag was pretty.,How well does this reason explain why the event happened?,"1 = does not explain it at all, 7 = explains it completely"
z_causal_norm_v1,bag__E_plus__Z,8,bag,E_plus,Z,1,There is a bag in the shop floor. The bag is pretty. The bag was blocking the aisle. Florence bought the bag and left the store.,Because the bag was blocking the aisle.,How well does this reason explain why the event happened?,"1 = does not explain it at all, 7 = explains it completely"
z_causal_norm_v1,bag__E_minus__P,8,bag,E_minus,P,2,There is a bag in the shop floor. The bag is pretty. The bag was blocking the aisle. Florence moved the bag and left the store.,Because the bag was pretty.,How well does this reason explain why the event happened?,"1 = does not explain it at all, 7 = explains it completely"
z_causal_norm_v1,bag__E_minus__Z,8,bag,E_minus,Z,3,There is a bag in the shop floor. The bag is pretty. The bag was blocking the aisle. Florence moved the bag and left the store.,Because the bag was blocking the aisle.,How well does this reason explain why the event happened?,"1 = does not explain it at all, 7 = explains it completely"
z_causal_norm_v1,spider__E_plus__P,9,spider,E_plus,P,1,There is a spider in the desk. The spider is scary. The spider was part of her class project. Penny screamed at the spider for a long time.,Because the spider was scary.,How well does this reason explain why the event happened?,"1 = does not explain it at all, 7 = explains it completely"
z_causal_norm_v1,spider__E_plus__Z,9,spider,E_plus,Z,2,There is a spider in the desk. The spider is scary. The spider was part of her class project. Penny screamed at the spider for a long time.,Because the spider was part of her class project.,How well does this reason explain why the event happened?,"1 = does not explain it at all, 7 = explains it completely"
z_causal_norm_v1,spider__E_minus__P,9,spider,E_minus,P,3,There is a spider in the desk. The spider is scary. The spider was part of her class project. Penny stroked the spider for a long time.,Because the spider was scary.,How well does this reason explain why the event happened?,"1 = does not explain it at all, 7 = explains it completely"
z_causal_norm_v1,spider__E_minus__Z,9,spider,E_minus,Z,0,There is a spider in the desk. The spider is scary. The spider was part of her class project. Penny stroked the spider for a long time.,Because the spider was part of her class project.,How well does this reason explain why the event happened?,"1 = does not explain it at all, 7 = explains it completely"
z_causal_norm_v1,trampoline__E_plus__P,10,trampoline,E_plus,P,2,There is a trampoline in the garden. The trampoline is bouncy. The trampoline had a torn cover. The dog jumped on the trampoline before his walk.,Because the trampoline was bouncy.,How well does this reason explain why the event happened?,"1 = does not explain it at all, 7 = explains it completely"
z_causal_norm_v1,trampoline__E_plus__Z,10,trampoline,E_plus,Z,3,There is a trampoline in the garden. The trampoline is bouncy. The trampoline had a torn cover. The dog jumped on the trampoline before his walk.,Because the trampoline had a torn cover.,How well does this reason explain why the event happened?,"1 = does not explain it at all, 7 = explains it completely"
z_causal_norm_v1,trampoline__E_minus__P,10,trampoline,E_minus,P,0,There is a trampoline in the garden. The trampoline is bouncy. The trampoline had a torn cover. The dog looked at the trampoline before his walk.,Because the trampoline was bouncy.,How well does this reason explain why the event happened?,"1 = does not explain it at all, 7 = explains it completely"
z_causal_norm_v1,trampoline__E_minus__Z,10,trampoline,E_minus,Z,1,There is a trampoline in the garden. The trampoline is bouncy. The trampoline had a torn cover. The dog looked at the trampoline before his walk.,Because the trampoline had a torn cover.,How well does this reason explain why the event happened?,"1 = does not explain it at all, 7 = explains it completely"
z_causal_norm_v1,painting__E_plus__P,11,painting,E_plus,P,3,There is a painting in the studio. The painting is weighty. The painting had won a prize. Susanne dropped the painting in the living room.,Because the painting was weighty.,How well does this reason explain why the event happened?,"1 = does not explain it at all, 7 = explains it completely"
z_causal_norm_v1,painting__E_plus__Z,11,painting,E_plus,Z,0,There is a painting in the studio. The painting is weighty. The painting had won a prize. Susanne dropped the painting in the living room.,Because the painting had won a prize.,How well does this reason explain why the event happened?,"1 = does not explain it at all, 7 = explains it completely"
z_causal_norm_v1,painting__E_minus__P,11,painting,E_minus,P,1,There is a painting in the studio. The painting is weighty. The painting had won a prize. Susanne displayed the painting in the living room.,Because the painting was weighty.,How well does this reason explain why the event happened?,"1 = does not explain it at all, 7 = explains it completely"
z_causal_norm_v1,painting__E_minus__Z,11,painting,E_minus,Z,2,There is a painting in the studio. The painting is weighty. The painting had won a prize. Susanne displayed the painting in the living room.,Because the painting had won a prize.,How well does this reason explain why the event happened?,"1 = does not explain it at all, 7 = explains it completely"
